,username,date,retweets,Sentiment,favorites,text,geo,mentions,id,permalink,processed_text,hashtags,emoticons,Count,HashtagSentiment,Directed
18218,LauraWilsonGal,10/14/16 16:56,1,Negative,2,"""Imagine what his numbers would be if they actually told the TRUTH...70 #Trump 30 #Hillary https:// twitter.com/TruthFeedNews/ status/786985207446376449 äó_""",,,"""787079607056871424""",https://twitter.com/LauraWilsonGal/status/787079607056871424,imagine number would actually told truth...70  trump 30  hillary  twitter.com/truthfeednews/ status/786985207446376449 í¢ŒóŒ_,#Hillary,,,,
5157,Rene_gadeCowboy,10/7/16 16:47,3,Neutral,10,"""I'm sick of the idiots saying if you bash trump ur voting for Hillary ..That's BS and I don't fall for the crap ..""",,,"""784540727053324288""",https://twitter.com/Rene_gadeCowboy/status/784540727053324288,i'm sick idiot saying bash trump ur voting hillary ..that's b don't fall crap ..,,,,,
41811,Ravenrantz,10/15/16 16:52,2,Negative,1,"""#MSM work'g hard #4Hillary #AgainstTrump #Hillary is #AntiAmerican #Racist hungry 4 #PowerAndMoney #Trump is 4 #Americans & a #BetterAmerica https:// twitter.com/surfermom77/st atus/787378135390052352 äó_""",,,"""787440982455226368""",https://twitter.com/Ravenrantz/status/787440982455226368, msm work'g hard  4hillary  againsttrump  hillary  antiamerican  racist hungry 4  powerandmoney  trump 4  american &  betteramerica  twitter.com/surfermom77/st atus/787378135390052352 í¢ŒóŒ_,#4Hillary,,,,
8379,RONNIE_SWAGGZ,10/11/16 16:36,0,Negative,1,"""@TRUMP _PREZ @JaredWyand no Hillary is only strategy to get trump supporters is by letting him speak. He sets him self up time to time""",,@TRUMP @JaredWyand,"""785987488661766144""",https://twitter.com/RONNIE_SWAGGZ/status/785987488661766144, _prez  hillary strategy get trump supporter letting speak. set self time time,,,,,
25916,Vote_4America,10/1/16 16:42,1,,0,"""TRUMP ON HILLARY CLINTONäó»S #BASEMENTDWELLERS COMMENTS http:// dlvr.it/MN3LBx #SocialMedia #DayOne""",,,"""782365019631521792""",https://twitter.com/Vote_4America/status/782365019631521792,trump hillary clintoní¢ŒóŒ»s  basementdwellers comment  dlvr.it/mn3lbx  socialmedia  dayone,#DayOne,,,,
19332,iluvspringtime,10/4/16 16:13,2,Negative,0,"""If R gov'tCan't/whoCanStop #Hillary 's corruption? #TrumpsArmy #TrumpTrain #MAGA #Conservative #Patriot #Independent #Libertarian #Trump #1A https:// twitter.com/iluvspringtime /status/783436113457184768 äó_""",,,"""783444967469514752""",https://twitter.com/iluvspringtime/status/783444967469514752,r gov'tcan't/whocanstop  hillary 's corruption?  trumpsarmy  trumptrain  maga  conservative  patriot  independent  libertarian  trump  1a  twitter.com/iluvspringtime /status/783436113457184768 í¢ŒóŒ_,#MAGA,,,,
28785,amrightnow,10/2/16 16:31,1,Neutral,1,"""#realdonaldtrump äóì Hillary äó»s Private Islandäó #military #army #navy #usmc #airforce #veterans #trump #trumptrain pic.twitter.com/8L5RMrrN5m""",,,"""782724639017631744""",https://twitter.com/amrightnow/status/782724639017631744, realdonaldtrump í¢ŒóŒì hillary í¢ŒóŒ»s private islandí¢ŒóŒ  military  army  navy  usmc  airforce  veteran  trump  trumptrain ,#army,,,,
158,f77a9c24c7f9451,10/1/16 16:41,1,Negative,1,"""Our country in bad shape. Can't trust our vote Hillary Clinton is EVIL. Please America people give Trump a chance https:// twitter.com/michaelharrisd r/status/782236365605961728 äó_""",,,"""782364892619739137""",https://twitter.com/f77a9c24c7f9451/status/782364892619739137,country bad shape. can't trust vote hillary clinton evil. please america people give trump chance  twitter.com/michaelharrisd r/status/782236365605961728 í¢ŒóŒ_,,,,,
3118,yabberz,10/4/16 16:16,1,Positive,4,"""Hillary Clinton Former Prosecutor Is Supporting Her. Why Isnäó»t He Supporting Trump ? https://www. yabberz.com/post/trump-mus t-be-a-terrible-choice-if-hrcs-former-prosecutor/86941765/ äó_""",,,"""783445757642678272""",https://twitter.com/yabberz/status/783445757642678272,hillary clinton former prosecutor supporting her. isní¢ŒóŒ»t supporting trump ?  yabberz.com/post/trump-mus t-be-a-terrible-choice-if-hrcs-former-prosecutor/86941765/ í¢ŒóŒ_,,,,,
27731,healthandcents,10/1/16 16:28,28,Negative,13,"""#SOCIALISM under #Hillary coming to #America unless we UNITE 4 #Trump ! #NeverHillary #FollowTheMoney #BasementDwellers #BasketOfDeplorables https:// twitter.com/sandrahartle/s tatus/782354350601408512 äó_""",,,"""782361582349062144""",https://twitter.com/healthandcents/status/782361582349062144, socialism  hillary coming  america unless unite 4  trump !  neverhillary  followthemoney  basementdwellers  basketofdeplorables  twitter.com/sandrahartle/s tatus/782354350601408512 í¢ŒóŒ_,#America,,,,
16682,iluvspringtime,10/4/16 16:13,2,Negative,0,"""If R gov'tCan't/whoCanStop #Hillary 's corruption? #TrumpsArmy #TrumpTrain #MAGA #Conservative #Patriot #Independent #Libertarian #Trump #1A https:// twitter.com/iluvspringtime /status/783436113457184768 äó_""",,,"""783444967469514752""",https://twitter.com/iluvspringtime/status/783444967469514752,r gov'tcan't/whocanstop  hillary 's corruption?  trumpsarmy  trumptrain  maga  conservative  patriot  independent  libertarian  trump  1a  twitter.com/iluvspringtime /status/783436113457184768 í¢ŒóŒ_,#Hillary,,,,
32457,Catslawrence,10/5/16 15:29,0,Positive,3,"""Can't wait for this election to be over so I no longer have to see or hear Boris and all other Trump surrogates! #HILLARY 2016""","Garden Grove, CA",,"""783796404720246784""",https://twitter.com/Catslawrence/status/783796404720246784,can't wait election longer see hear boris trump surrogates!  hillary 2016,#HILLARY,,,,
37164,HillaryDrunk,10/6/16 15:41,0,Positive,0,"""THE SCEINECE IS SETTLED! #IMWITHHER #poTUS #HILLARY #HILLARY2016 #a #READYFORHILLARY not #trUMP HES STUPID I'M NICE https:// twitter.com/FoxNews/status /784160932238733312 äó_""",,,"""784161574277689344""",https://twitter.com/HillaryDrunk/status/784161574277689344,sceinece settled!  imwithher  potus  hillary  hillary2016   readyforhillary  trump he stupid i'm nice  twitter.com/foxnews/status /784160932238733312 í¢ŒóŒ_,#a,,,,
10274,Spikey_Buddy,10/14/16 16:49,0,Negative,2,"""While I'll still go with Trump , I do so because I despise Hillary Clinton. The man's mouth overrides his brain a lot of the time. 1/""",,,"""787077948394311680""",https://twitter.com/Spikey_Buddy/status/787077948394311680,"i'll still go trump , despise hillary clinton. man's mouth override brain lot time. 1/",,,,,
17561,MagicPeaceLove,10/10/16 16:50,0,,1,""". @kashhill This may be the last time ever that candidates with dark shit in their past can expect it to remain undisclosed. #Hillary #Trump""",,@kashhill,"""785628690931515392""",https://twitter.com/MagicPeaceLove/status/785628690931515392,.  may last time ever candidate dark shit past expect remain undisclosed.  hillary  trump,#Hillary,,,,
18635,bony_rabbit,10/1/16 16:57,1,,1,""". @TalkingPicsABC - be good if that cartoon mentioned #Trump AND #HIllary 's billionaire #Paedo buddy #Epstein 's #LolitaExpress ! #INSIDERS""",,@TalkingPicsABC,"""782368997639467008""",https://twitter.com/bony_rabbit/status/782368997639467008,.  - good cartoon mentioned  trump  hillary 's billionaire  paedo buddy  epstein 's  lolitaexpress !  insider,#LolitaExpress,,,,
33600,TrumpSuperPAC,10/7/16 16:52,73,Negative,51,"""#Hillary smeared @BernieSanders about making politically incorrect comments about women too! #BillyBush #Wikileaks #PodestaLeak #TRUMP https:// twitter.com/wikileaks/stat us/784529660625453057 äó_""",,@BernieSanders,"""784541958119256064""",https://twitter.com/TrumpSuperPAC/status/784541958119256064, hillary smeared  making politically incorrect comment woman too!  billybush  wikileaks  podestaleak  trump  twitter.com/wikileaks/stat us/784529660625453057 í¢ŒóŒ_,#Wikileaks,,,,
42049,moms4trump2016,10/15/16 16:25,2,Negative,1,"""#Hillary #DrugTest #WikiLeaks #MAGA #TestHillary #Test #Independents Trump calls for drug test before debate http:// thehill.com/blogs/ballot-b ox/presidential-races/301181-trump-calls-for-drug-test-before-debate äó_""",,,"""787434282100764672""",https://twitter.com/moms4trump2016/status/787434282100764672, hillary  drugtest  wikileaks  maga  testhillary  test  independent trump call drug test debate  thehill.com/blogs/ballot-b ox/presidential-races/301181-trump-calls-for-drug-test-before-debate í¢ŒóŒ_,#Test,,,,
24937,GloomandDoom1,10/1/16 16:46,0,Negative,1,"""#Temperament WON'T Bring Jobs Back From #China or End #Hillary 's PermaWars #msnbc #foxnews #nyt #wsj #cnn #wapo #bbc #trump #npr #nbc #trump""",,,"""782366081151361024""",https://twitter.com/GloomandDoom1/status/782366081151361024, temperament won't bring job back  china end  hillary 's permawars  msnbc  foxnews  nyt  wsj  cnn  wapo  bbc  trump  npr  nbc  trump,#Temperament,,,,
29516,amrightnow,10/5/16 16:31,2,,0,"""#realdonaldtrump äóì Hillary äó»s Private Islandäó #military #army #navy #usmc #airforce #veterans #trump #trumptrain pic.twitter.com/ZSTBdYhkZG""",,,"""783811787938471936""",https://twitter.com/amrightnow/status/783811787938471936, realdonaldtrump í¢ŒóŒì hillary í¢ŒóŒ»s private islandí¢ŒóŒ  military  army  navy  usmc  airforce  veteran  trump  trumptrain ,#trumptrain,,,,
14029,WeepingSophia,10/8/16 16:42,2,Negative,2,"""This is what #Obama Dems & #Hillary are hiding with #Trump story. http://www. breitbart.com/big-government /2016/10/07/obama-rushes-900-refugees-u-s-single-day-track-now-185000/ äó_ This is TREASON.""",,,"""784901859412762624""",https://twitter.com/WeepingSophia/status/784901859412762624, obama dems &  hillary hiding  trump story.  breitbart.com/big-government /2016/10/07/obama-rushes-900-refugees-u-s-single-day-track-now-185000/ í¢ŒóŒ_ treason.,#Trump,,,,
35161,Ange_Amene,10/4/16 16:37,2,Positive,3,"""So Pence can attack Hillary all he wants. His ass is still gonna have to DEFEND TRUMP . #FACTS #VPDebate""",,,"""783450965554757633""",https://twitter.com/Ange_Amene/status/783450965554757633,penny attack hillary wants. as still gonna defend trump .  fact  vpdebate,#VPDebate,,,,
22396,GloomandDoom1,10/1/16 16:14,0,Positive,1,"""Can #Trump ""Turn Around"" US Economy? YES. Small Tweaks Make Big Changes Over Time~DONT Give Up & Vote for #Hillary #msnbc #foxnews #nyt #cnn""",,,"""782357940053377025""",https://twitter.com/GloomandDoom1/status/782357940053377025," trump ""turn around"" u economy? yes. small tweak make big change time~dont give & vote  hillary  msnbc  foxnews  nyt  cnn",#cnn,,,,
8261,JohnKTooleJr,10/11/16 16:43,0,Negative,0,"""Hillary : steals dollars. Trump : bellows and hollers. Ignatius J. Reilly: takes on all callers. http:// tinyurl.com/go8spw8 . Enjoy.--JKTJr.(TM)""",,,"""785989271056371712""",https://twitter.com/JohnKTooleJr/status/785989271056371712,hillary : steal dollars. trump : bellow hollers. ignatius j. reilly: take callers.  tinyurl.com/go8spw8 . enjoy.--jktjr.(tm),,,,,
39313,Annafam7ofus,10/11/16 16:53,1,Positive,2,"""Donald Trump making the decision 2 send Hilary 2 jail or #Donald _ Trump #weirdoheis #funny #lotsincommen #voteHillary #novote #IamCanadian pic.twitter.com/Wzffmv1rLx""",,,"""785991845901893632""",https://twitter.com/Annafam7ofus/status/785991845901893632,donald trump making decision 2 send hilary 2 jail  donald _ trump  weirdoheis  funny  lotsincommen  votehillary  novote  iamcanadian ,#weirdoheis,,,,
41716,Chloe_Kaydee_x,10/15/16 16:00,0,Positive,2,"""If I was American, I'd vote for #HillaryBecause she's not Donald ""P*ssy Grabber"" Trump""",,,"""787427948055764992""",https://twitter.com/Chloe_Kaydee_x/status/787427948055764992,"american, i'd vote  hillarybecause she's donald ""p*ssy grabber"" trump",#HillaryBecause,,,,
26786,johnjoh60,10/3/16 16:09,1,Negative,1,"""END THIS GARBAGE #StrongerToGetHer #HillaryClinton #Hillary #ClintonKaine #Hillary2016 #NeverHillary #AmericaFirst #ClintonScandals #Trump pic.twitter.com/XFI4scCbRB""",,,"""783081559951831040""",https://twitter.com/johnjoh60/status/783081559951831040,end garbage  strongertogether  hillaryclinton  hillary  clintonkaine  hillary2016  neverhillary  americafirst  clintonscandals  trump ,#AmericaFirst,,,,
31624,_No2GOP,10/8/16 16:55,15,Positive,22,"""John McCain drops support 4 Donald Trump http:// j.mp/2dnlpyy #VoteBlue #p2 #ctl #NeverTrump Still being asshole, not supporting Hillary pic.twitter.com/MNSe6QMpQk""",,,"""784905076502568960""",https://twitter.com/_No2GOP/status/784905076502568960,"john mccain drop support 4 donald trump  j.mp/2dnlpyy  voteblue  p2  ctl  nevertrump still asshole, supporting hillary ",#p2,,,,
7932,Am_Alek,10/10/16 16:24,1,Positive,2,"""I hate both candidates equally but Hillary won the last two debates. Trump acts so childish and never explains his plans.""","Manchester, NH",,"""785622166951829504""",https://twitter.com/Am_Alek/status/785622166951829504,hate candidate equally hillary last two debates. trump act childish never explains plans.,,,,,
31140,Tokerwaredotcom,10/4/16 16:40,1,Neutral,1,"""Hey everybody! It's debate night! #Tokerware #Debates2016 #Hillary #trump pic.twitter.com/bZUu3WtWGM""",,,"""783451733099843584""",https://twitter.com/Tokerwaredotcom/status/783451733099843584,hey everybody! it's debate night!  tokerware  debates2016  hillary  trump ,#Debates2016,,,,
13926,MarkMcFadden,10/7/16 16:33,1,Positive,4,"""Donald #Trump crosses yet another line. But he's crossed so many it's a wonder his campaign isn't headquartered in Abbey Road. #Hillary""",,,"""784537269944389635""",https://twitter.com/MarkMcFadden/status/784537269944389635,donald  trump cross yet another line. he's crossed many it's wonder campaign isn't headquartered abbey road.  hillary,#Trump,,,,
3532,Norensis,10/5/16 16:58,0,Neutral,0,"""To media organizations endorsing Trump or Hillary pic.twitter.com/mA130uiLxq""",,,"""783818646598529024""",https://twitter.com/Norensis/status/783818646598529024,medium organization endorsing trump hillary ,,,,,
28918,amrightnow,10/2/16 16:31,1,,1,"""#realdonaldtrump äóì Hillary äó»s Private Islandäó #military #army #navy #usmc #airforce #veterans #trump #trumptrain pic.twitter.com/8L5RMrrN5m""",,,"""782724639017631744""",https://twitter.com/amrightnow/status/782724639017631744, realdonaldtrump í¢ŒóŒì hillary í¢ŒóŒ»s private islandí¢ŒóŒ  military  army  navy  usmc  airforce  veteran  trump  trumptrain ,#navy,,,,
13343,iluvspringtime,10/4/16 16:13,2,Negative,0,"""If R gov'tCan't/whoCanStop #Hillary 's corruption? #TrumpsArmy #TrumpTrain #MAGA #Conservative #Patriot #Independent #Libertarian #Trump #1A https:// twitter.com/iluvspringtime /status/783436113457184768 äó_""",,,"""783444967469514752""",https://twitter.com/iluvspringtime/status/783444967469514752,r gov'tcan't/whocanstop  hillary 's corruption?  trumpsarmy  trumptrain  maga  conservative  patriot  independent  libertarian  trump  1a  twitter.com/iluvspringtime /status/783436113457184768 í¢ŒóŒ_,#Trump,,,,
16471,danprud,10/3/16 16:12,1,Negative,1,"""#CrookedHilary #LockHerUp #LockHerUp #LockHerUp ; Breaking news : #Hillary will be arrested minutes after #Trump ' inauguration""",,,"""783082402025472000""",https://twitter.com/danprud/status/783082402025472000, crookedhilary  lockherup  lockherup  lockherup ; breaking news :  hillary arrested minute  trump ' inauguration,#Hillary,,,,
41819,Ravenrantz,10/15/16 16:52,2,Negative,1,"""#MSM work'g hard #4Hillary #AgainstTrump #Hillary is #AntiAmerican #Racist hungry 4 #PowerAndMoney #Trump is 4 #Americans & a #BetterAmerica https:// twitter.com/surfermom77/st atus/787378135390052352 äó_""",,,"""787440982455226368""",https://twitter.com/Ravenrantz/status/787440982455226368, msm work'g hard  4hillary  againsttrump  hillary  antiamerican  racist hungry 4  powerandmoney  trump 4  american &  betteramerica  twitter.com/surfermom77/st atus/787378135390052352 í¢ŒóŒ_,#4Hillary,,,,
3881,coopah,10/5/16 16:20,8,Positive,8,"""Gary Johnsonäó»s running mate gives up, vows to make sure Donald Trump loses to Hillary Clinton http://www. dailynewsbin.com/news/gary-john sons-running-mate-gives-up-vows-to-make-sure-donald-trump-loses-to-hillary-clinton/26199/ äó_ pic.twitter.com/IVcIvLR1VT""",,,"""783809089994301442""",https://twitter.com/coopah/status/783809089994301442,"gary johnsoní¢ŒóŒ»s running mate give up, vow make sure donald trump loses hillary clinton  dailynewsbin.com/news/gary-john sons-running-mate-gives-up-vows-to-make-sure-donald-trump-loses-to-hillary-clinton/26199/ í¢ŒóŒ_ ",,,,,
30789,bitcoinagile,10/1/16 15:32,1,,1,"""#bitcoin , #ethereum , Donald Trump , Hillary Clinton FreeBTC Blog - News About Bitcoin http:// freebtc.website/blog/bitcoin-e thereum-donald-trump-the-hillary-clinton-dumpster-fire äó_ pic.twitter.com/R6fEHEBnvE""",,,"""782347585411510272""",https://twitter.com/bitcoinagile/status/782347585411510272," bitcoin ,  ethereum , donald trump , hillary clinton freebtc blog - news bitcoin  freebtc.website/blog/bitcoin-e thereum-donald-trump-the-hillary-clinton-dumpster-fire í¢ŒóŒ_ ",#ethereum,,,,
41392,Filterlbc,10/15/16 16:57,4,Negative,1,"""Trump is Kind! Hillary #LIE #Corrupcion #Server #Delete #YOGA #Email #PayToPlay #BernerGate #LatinoVote #BlackTwitter #Trump #dtmag #pence https:// twitter.com/Turdykins/stat us/787384199036727296 äó_""",,,"""787442299567378432""",https://twitter.com/Filterlbc/status/787442299567378432,trump kind! hillary  lie  corrupcion  server  delete  yoga  email  paytoplay  bernergate  latinovote  blacktwitter  trump  dtmag  penny  twitter.com/turdykins/stat us/787384199036727296 í¢ŒóŒ_,#YOGA,,,,
13291,EloquentSpur,10/4/16 16:26,0,Negative,1,"""You lie #Hillary . @HillaryClinton Obviously u did not hear what Mr #Trump actually said. #USMC #USArmy #Veterans #military #VA #USCG #PTSD""",,@HillaryClinton,"""783448327635423232""",https://twitter.com/EloquentSpur/status/783448327635423232,lie  hillary .  obviously u hear mr  trump actually said.  usmc  usarmy  veteran  military  va  uscg  ptsd,#Trump,,,,
4552,anna_annabanana,10/6/16 16:16,0,Negative,18,"""I've been home for 45 minutes and Blake has already said "" Trump ,"" "" Hillary for Prison,"" and ""email scandal.""""",,,"""784170473693155329""",https://twitter.com/anna_annabanana/status/784170473693155329,"i've home 45 minute blake already said "" trump ,"" "" hillary prison,"" ""email scandal.",,,,,
15653,GloomandDoom1,10/1/16 16:53,0,Negative,2,"""#Hillary Crazy NeoNazi Coup in #Kiev May Have Ruined #EU ~Which Was Already In Trouble #msnbc #foxnews #nyt #cnn #wapo #nbc #cbs #trump #ap""",,,"""782367787889135616""",https://twitter.com/GloomandDoom1/status/782367787889135616, hillary crazy neonazi coup  kiev may ruined  eu ~which already trouble  msnbc  foxnews  nyt  cnn  wapo  nbc  cbs  trump  ap,#Hillary,,,,
37325,TrumpSuperPAC,10/7/16 16:45,99,Negative,71,"""#Hillary secret paid speech to bank: ""My dream is a hemispheric common market, with open trade & open borders."" #wikileaks #BillyBush #TRUMP pic.twitter.com/5l1xcqzagI""",,,"""784540115884511232""",https://twitter.com/TrumpSuperPAC/status/784540115884511232," hillary secret paid speech bank: ""my dream hemispheric common market, open trade & open borders.""  wikileaks  billybush  trump ",#BillyBush,,,,
10397,LeshiaStavang,10/14/16 16:39,2,,5,"""@PRyan obviously you don't care what America wants or you would be helping Trump defeat Hillary . SHAME ON YOU!!!""",,@PRyan,"""787075446005313537""",https://twitter.com/LeshiaStavang/status/787075446005313537, obviously don't care america want would helping trump defeat hillary . shame you!!!,,,,,
8059,pieboy107,10/11/16 16:54,0,Neutral,1,"""I liked a @YouTube video http:// youtu.be/SgicDQHbV3M?a Understanding Donald Trump and Hillary Clinton's Tax Plans""",,@YouTube,"""785991986784370688""",https://twitter.com/pieboy107/status/785991986784370688,liked  video  youtu.be/sgicdqhbv3m?a understanding donald trump hillary clinton's tax plan,,,,,
32581,EminemsMelt,10/12/16 16:31,2,,2,"""Hillary : #Russia hacked emails. The People: So they are incorrect, this is not accurate information? Hillary : #Trump said bad things. #Putin""",,,"""786348710917660672""",https://twitter.com/EminemsMelt/status/786348710917660672,"hillary :  russia hacked emails. people: incorrect, accurate information? hillary :  trump said bad things.  putin",#Putin,,,,
9713,ZinkanL,10/13/16 16:45,0,,6,"""it's trump v Hillary , Rhianna and drake broke up, and now there's a storm headed our way,,,, what next??""","Tanner, WA",,"""786714499965345796""",https://twitter.com/ZinkanL/status/786714499965345796,"it's trump v hillary , rhianna drake broke up, there's storm headed way,,,, next??",,,,,
11324,AuntInAZ,10/15/16 16:20,0,Positive,0,"""Obama Wipes The Floor With Fake Populist Trump At Ohio Rally For Hillary Clinton via @politicususa http://www. politicususa.com/2016/10/14/oba ma-wipes-floor-fake-populist-trump-ohio-rally-hillary-clinton.html äó_""",,@politicususa,"""787433093208510464""",https://twitter.com/AuntInAZ/status/787433093208510464,obama wipe floor fake populist trump ohio rally hillary clinton via   politicususa.com/2016/10/14/oba ma-wipes-floor-fake-populist-trump-ohio-rally-hillary-clinton.html í¢ŒóŒ_,,,,,
22031,GloomandDoom1,10/1/16 16:25,0,,2,"""Thank God #Hillary Moved from ""Fat Chicks"" To #BasementDwellers #msnbc #foxnews #nyt #cnn #wapo #nbc #npr #nbc #cbs #gop #trump""",,,"""782360887978065920""",https://twitter.com/GloomandDoom1/status/782360887978065920,"thank god  hillary moved ""fat chicks""  basementdwellers  msnbc  foxnews  nyt  cnn  wapo  nbc  npr  nbc  cbs  gop  trump",#nyt,,,,
30780,BruceZobel,10/5/16 15:47,1,Positive,1,"""If Hillary retweeted a quote from Il Duce, Trump supporters would call her a fascist. #Election2016 #RememberInNovember #p2 #tcot""",,,"""783800804918628352""",https://twitter.com/BruceZobel/status/783800804918628352,"hillary retweeted quote il duce, trump supporter would call fascist.  election2016  rememberinnovember  p2  tcot",#RememberInNovember,,,,
28182,Zwrite1,10/8/16 16:51,0,Positive,0,"""#TrumpPence16 #TCOT While Trump was calling for the execution of five innocent teens, Hillary was working for justice for all.""",,,"""784904000739180544""",https://twitter.com/Zwrite1/status/784904000739180544," trumppence16  tcot trump calling execution five innocent teens, hillary working justice all.",#TrumpPence16,,,,
40336,TraceyM72,10/12/16 16:28,0,Negative,1,"""@ClarkG_1971 @newsbusters @mitchellreports @johnpodesta cuz #AndreaMitchell mentioned by name as % #Shill 4 #Hillary #CNNBiasMSM #Trump""",,@ClarkG_1971 @newsbusters @mitchellreports @johnpodesta,"""786347746479468544""",https://twitter.com/TraceyM72/status/786347746479468544,    cuz  andreamitchell mentioned name %  shill 4  hillary  cnnbiasmsm  trump,#Shill,,,,
