,username,date,retweets,favorites,Sentiment,text,geo,mentions,id,permalink,processed_text,hashtags,emoticons,Count,HashtagSentiment,Directed
7206,NickHarrys,10/4/16 16:54,0,0,Negative,"""Donald And Ivanka Sitting In A Tree: Donald Trump Õs History Of Perverse, Incestuous C ... - http:// curated-news.com/gossips/celebs -donald-and-ivanka-sitting-in-a-tree-donald-trumps-history-of-perverse-incestuous-comments-about-his-daughter É pic.twitter.com/v8MH1aCmCv""",,,"""783455405204791296""",https://twitter.com/NickHarrys/status/783455405204791296,"donald ivanka sitting tree: donald trump ‰€™s history perverse, incestuous c ... - curated-news.com/gossips/celebs -donald-and-ivanka-sitting-in-a-tree-donald-trumps-history-of-perverse-incestuous-comments-about-his-daughter ‰€_",,,,,
65173,vinesdeporte,10/15/16 16:00,9,13,Neutral,"""Neither Hillary Clinton nor Donald Trump .. #Debate pic.twitter.com/i65iAcsiDO""",,,"""787427847199522816""",https://twitter.com/vinesdeporte/status/787427847199522816,neither hillary clinton donald trump .. debate,#Debate,,,,
27355,JamiliaBrane,10/12/16 16:36,0,0,,"""Beyonce's mum Tina weighs in on daughter's lyrics being compared to Donald Trump 's lewd 'p****' comments http:// dlvr.it/MRdxmj pic.twitter.com/XffWDluX3J""",,,"""786349751671205888""",https://twitter.com/JamiliaBrane/status/786349751671205888,beyonce's mum tina weighs daughter's lyric compared donald trump 's lewd 'p****' comment dlvr.it/mrdxmj,,,,,
43926,Rain_Surname,10/10/16 16:44,0,2,Positive,"""@Karoli It's remarkable how every bad thing the #MSM say about #Hillary is true, but every bad thing they say about #Trump is an #MSMFail .""",,@Karoli,"""785627032600219648""",https://twitter.com/Rain_Surname/status/785627032600219648,"it's remarkable every bad thing msm say hillary true, every bad thing say trump msmfail .",#Hillary,,,,
20914,davidwalsh,10/9/16 16:42,1,1,Negative,"""Donald Trump has reached rock bottom.""","Fitchburg, WI",,"""785264277728800768""",https://twitter.com/davidwalsh/status/785264277728800768,donald trump reached rock bottom.,,,,,
44135,occupycorruptDC,10/11/16 16:27,10,5,Positive,"""Without the media, #Hillary #Clinton couldnÕt be elected dog catcher,Ó #Trump stated. Ò #CNN is a disgrace.Ó http://www. breitbart.com/2016-president ial-race/2016/10/10/10000-voters-pennsylvania-trump-rally-chant-cnn-sucks/ É""",,,"""785985111288324097""",https://twitter.com/occupycorruptDC/status/785985111288324097,"without media, hillary clinton couldn‰€™t elected dog catcher,‰€ trump stated. ‰€œ cnn disgrace.‰€ breitbart.com/2016-president ial-race/2016/10/10/10000-voters-pennsylvania-trump-rally-chant-cnn-sucks/ ‰€_",#Hillary,,,,
82833,gecko64021,10/14/16 16:11,0,0,Positive,"""Trey Gowdy Just Smacked Down Hillary And Disloyal GOPs With Epic Reason He Proudly Stands By Trump http:// endingthefed.com/trey-gowdy-jus t-smacked-down-hillary-and-disloyal-gops-with-epic-reason-he-proudly-stands-by-trump.html#.WAFmFfaJnwJ.twitter#Gowdy É""","Houston, TX",,"""787068426858532865""",https://twitter.com/gecko64021/status/787068426858532865,trey gowdy smacked hillary disloyal gop epic reason proudly stand trump endingthefed.com/trey-gowdy-jus t-smacked-down-hillary-and-disloyal-gops-with-epic-reason-he-proudly-stands-by-trump.html .wafmffajnwj.twitter gowdy ‰€_,#Gowdy,,,,
70021,TRUMP_PREZ,10/6/16 16:09,110,116,Positive,"""How many more scandals will Hillary Clinton be involved in before a judge finally decides to #LockHerUp Maybe #Potus #Trump will do it""",,,"""784168694092066816""",https://twitter.com/TRUMP_PREZ/status/784168694092066816,many scandal hillary clinton involved judge finally decides lockherup maybe potus trump,#LockHerUp,,,,
60211,amrightnow,10/7/16 16:30,0,1,,"""#realdonaldtrump Ò Hillary Õs Private IslandÓ #military #army #navy #usmc #airforce #veterans #trump #trumptrain pic.twitter.com/69HEmjjDjT""",,,"""784536506895564800""",https://twitter.com/amrightnow/status/784536506895564800,realdonaldtrump ‰€œ hillary ‰€™s private island‰€ military army navy usmc airforce veteran trump trumptrain,#navy,,,,
81484,XWolfStryker,10/13/16 16:34,0,2,Negative,"""@DanaJacoviello I'm sorry, but it's a guy like Donald Trump that makes me very ashamed of myself to be a guy. #IRespectAllWomen""",,@DanaJacoviello,"""786711636136513536""",https://twitter.com/XWolfStryker/status/786711636136513536,"i'm sorry, it's guy like donald trump make ashamed guy. irespectallwomen",#IRespectAllWomen,,,,
11480,IsaacDovere,10/5/16 15:35,4,6,,"""Kaine: ""If Donald Trump is anything, he is like a human highlight reel.""""",,,"""783797833577234432""",https://twitter.com/IsaacDovere/status/783797833577234432,"kaine: ""if donald trump anything, like human highlight reel.",,,,,
17168,luisbergante,10/8/16 16:49,0,0,,"""Condoleeza Rice Calls On Donald Trump To Drop Out Of The Race http:// huff.to/2dEQFLV""",,,"""784903662136991745""",https://twitter.com/luisbergante/status/784903662136991745,condoleeza rice call donald trump drop race huff.to/2deqflv,,,,,
52418,GloomandDoom1,10/1/16 15:51,0,1,Positive,"""Most People I Know Are Reluctant To ""Admit"" They'll Vote #Trump ~Its Too Un-P.C. #msnbc #foxnews #nyt #cnn #wapo #nbc #npr #hillary #nbc #nbc""",,,"""782352372160921600""",https://twitter.com/GloomandDoom1/status/782352372160921600,"people know reluctant ""admit"" they'll vote trump ~its un-p.c. msnbc foxnews nyt cnn wapo nbc npr hillary nbc nbc",#nbc,,,,
64096,BostonForTrump,10/1/16 15:24,0,1,,"""Trump demands Obama promise not to pardon Hillary if she&#8217;s indicted for &#8216;crimes against our country - http:// wp.me/p3rVTb-1F3J""",,,"""782345554479153152""",https://twitter.com/BostonForTrump/status/782345554479153152,trump demand obama promise pardon hillary she& 8217;s indicted & 8216;crimes country - wp.me/p3rvtb-1f3j,#8216,,,,
59612,stridinstrider,10/7/16 16:57,2,4,,"""A Strider Original #trump #donaldtrump #movie #filmmaker #funny @McConaughey #ImWithHer #Clinton #Hillary #Meme #LOL #FridayFeeling #tgif pic.twitter.com/Xmf20MD1sp""",,@McConaughey,"""784543172823281665""",https://twitter.com/stridinstrider/status/784543172823281665,strider original trump donaldtrump movie filmmaker funny imwithher clinton hillary meme lol fridayfeeling tgif,#funny,,,,
81655,WomenWorldNews1,10/13/16 16:33,1,1,,"""#Politico #Politics Trump goes full Breitbart: ' Hillary Clinton meets in secret with interna... http:// politi.co/2dNGa9W #UniteBlue #Tcot""",,,"""786711374193758208""",https://twitter.com/WomenWorldNews1/status/786711374193758208,politico politics trump go full breitbart: ' hillary clinton meet secret interna... politi.co/2dnga9w uniteblue tcot,#Politico,,,,
83018,Ravenrantz,10/15/16 16:52,2,1,Positive,"""#MSM work'g hard #4Hillary #AgainstTrump #Hillary is #AntiAmerican #Racist hungry 4 #PowerAndMoney #Trump is 4 #Americans & a #BetterAmerica https:// twitter.com/surfermom77/st atus/787378135390052352 É""",,,"""787440982455226368""",https://twitter.com/Ravenrantz/status/787440982455226368,msm work'g hard 4hillary againsttrump hillary antiamerican racist hungry 4 powerandmoney trump 4 american & betteramerica twitter.com/surfermom77/st atus/787378135390052352 ‰€_,#4Hillary,,,,
29440,publimetroUS,10/13/16 16:35,0,0,-,"""There's A Boycott Going On At Donald Trump 's Fancy New Hotel: The entrance to Donald Trump Õs fancy new D.C. h... http:// huff.to/2dNGKEj""",,,"""786711976646889473""",https://twitter.com/publimetroUS/status/786711976646889473,there's boycott going donald trump 's fancy new hotel: entrance donald trump ‰€™s fancy new d.c. h... huff.to/2dngkej,,,,,
66659,iluvspringtime,10/5/16 16:52,3,3,Positive,"""#Hillary 's mentor.TheStartOfHerCorruptedIdeals. #VoteTrump #TrumpsArmy #GOP #TCOT #TrumpTrain #TakeAmericaBack #Millenials #American #Trump https:// twitter.com/iluvspringtime /status/783483245593624576 É""",,,"""783817218848993280""",https://twitter.com/iluvspringtime/status/783817218848993280,hillary 's mentor.thestartofhercorruptedideals. votetrump trumpsarmy gop tcot trumptrain takeamericaback millenials american trump twitter.com/iluvspringtime /status/783483245593624576 ‰€_,#TrumpsArmy,,,,
82915,IndePenny,10/15/16 16:10,2,3,Negative,"""#HillaryBecause when #Trump went low, Hillary went breathtakingly high.... #ImWithHer http://www. slate.com/blogs/xx_facto r/2016/10/12/forget_this_hillary_is_unlikeable_stuff_hillary_is_downright_inspiring.html É""",,,"""787430431369097216""",https://twitter.com/IndePenny/status/787430431369097216,"hillarybecause trump went low, hillary went breathtakingly high.... imwithher slate.com/blogs/xx_facto r/2016/10/12/forget_this_hillary_is_unlikeable_stuff_hillary_is_downright_inspiring.html ‰€_",#HillaryBecause,,,,
18344,margaritateresa,10/8/16 16:34,5,8,,"""The Donald Trump Effect https:// twitter.com/violetskyye/st atus/784837820745605121 É""",,,"""784899721315909632""",https://twitter.com/margaritateresa/status/784899721315909632,donald trump effect twitter.com/violetskyye/st atus/784837820745605121 ‰€_,,,,,
75620,TheRealRogerB,10/7/16 16:45,1,0,Positive,"""Billy Bush what??? What about all this #Kill #CBS #interview crap? #Trump guilty of guy talk! #Hillary behind the scenes issuing cover ups!""","Virginia, USA",,"""784540057088749568""",https://twitter.com/TheRealRogerB/status/784540057088749568,billy bush what??? kill cbs interview crap? trump guilty guy talk! hillary behind scene issuing cover ups!,#Kill,,,,
5513,TheRSMS,10/3/16 16:39,2,2,,"""Did Donald Trump Õs Ex-Wife Leak His Tax Returns http:// bit.ly/2dqOqLz pic.twitter.com/87Ec5WGdxD""",,,"""783089068477480964""",https://twitter.com/TheRSMS/status/783089068477480964,donald trump ‰€™s ex-wife leak tax return bit.ly/2dqoqlz,,,,,
60486,amrightnow,10/12/16 16:30,5,3,,"""#realdonaldtrump Ò Hillary Õs Private IslandÓ #military #army #navy #usmc #airforce #veterans #trump #trumptrain pic.twitter.com/NZzkM0N0fE""",,,"""786348416888672256""",https://twitter.com/amrightnow/status/786348416888672256,realdonaldtrump ‰€œ hillary ‰€™s private island‰€ military army navy usmc airforce veteran trump trumptrain,#airforce,,,,
8130,pricklypear12,10/4/16 16:25,2,2,Neutral,"""@tgradous @URKiddinMee2 @JAmy208 @CrazyCatRescuer Entire country is corrupt. Only explanation for ending up with Trump and Hillary .""",,@tgradous @URKiddinMee2 @JAmy208 @CrazyCatRescuer,"""783447939918159872""",https://twitter.com/pricklypear12/status/783447939918159872,entire country corrupt. explanation ending trump hillary .,,,,,
40847,inusanewscom,10/12/16 16:50,1,1,,"""(CNN) #Trump : #Clinton 'has to go to jail' : Donald Trump said Wednesday that Hillary Clinton ""has to go to.. http://www. inusanews.com/article/114151 41511/trump-clinton É""",,,"""786353291680583680""",https://twitter.com/inusanewscom/status/786353291680583680,"(cnn) trump : clinton 'has go jail' : donald trump said wednesday hillary clinton ""has go to.. inusanews.com/article/114151 41511/trump-clinton ‰€_",#Trump,,,,
28117,evale72,10/13/16 16:59,3,1,Negative,"""Watch "" Donald Trump blamed the victim in the Mike Tyson rape case"" on YouTube http:// ow.ly/n0Ny100mkds""",,,"""786718074875572224""",https://twitter.com/evale72/status/786718074875572224,"watch "" donald trump blamed victim mike tyson rape case"" youtube ow.ly/n0ny100mkds",,,,,
67499,suzost,10/2/16 15:47,3,1,Positive,"""#Patriots Trump wants to fix our Country School Choice Jobs America First! Hillary wants to sell Jobs & Our Country to Highest Donor! #MAGA https:// twitter.com/nia4_trump/sta tus/782376821694357504 É""",,,"""782713604604776452""",https://twitter.com/suzost/status/782713604604776452,patriot trump want fix country school choice job america first! hillary want sell job & country highest donor! maga twitter.com/nia4_trump/sta tus/782376821694357504 ‰€_,#Patriots,,,,
54136,GloomandDoom1,10/1/16 16:48,0,1,Positive,"""I'm More Concered With #Hillary ' Crackpot #RegimeChange in #Libya Than With Her Debacle in #Benghazi #msnbc #foxnews #nyt #cnn #wapo #trump""",,,"""782366678499852288""",https://twitter.com/GloomandDoom1/status/782366678499852288,i'm concered hillary ' crackpot regimechange libya debacle benghazi msnbc foxnews nyt cnn wapo trump,#RegimeChange,,,,
72147,Filterlbc,10/13/16 16:38,1,0,Positive,"""Hillary is Corrupt, Immoral, Unethical, Deadly! #LatinosForTrump #DeplorableCatholics #BernerGate #berners4trump #Trump #MAGA #TCOT #dtmag https:// twitter.com/LeahR77/status /786604670982643714 É""",,,"""786712636553474049""",https://twitter.com/Filterlbc/status/786712636553474049,"hillary corrupt, immoral, unethical, deadly! latinosfortrump deplorablecatholics bernergate berners4trump trump maga tcot dtmag twitter.com/leahr77/status /786604670982643714 ‰€_",#berners4trump,,,,
11349,benshapiro,10/5/16 15:40,96,166,,"""Hillary , Trump , And The Future Of The Republican Party http://www. dailywire.com/news/9729/hill ary-trump-and-future-republican-party-ben-shapiro?utm_source=twitter&utm_medium=social&utm_content=news&utm_campaign=twitterbenshapiro É pic.twitter.com/mCj2iUEFu4""",,,"""783799153025572864""",https://twitter.com/benshapiro/status/783799153025572864,"hillary , trump , future republican party dailywire.com/news/9729/hill ary-trump-and-future-republican-party-ben-shapiro?utm_source=twitter&utm_medium=social&utm_content=news&utm_campaign=twitterbenshapiro ‰€_",,,,,
5542,l_d_z,10/3/16 16:38,3,4,Negative,"""I hope Trump dies in the most painful way possible, as soon as possible, fuck that man, I hate him so much, oh my god, fuck Donald Trump""",,,"""783088900206129152""",https://twitter.com/l_d_z/status/783088900206129152,"hope trump dy painful way possible, soon possible, fuck man, hate much, oh god, fuck donald trump",,,,,
76327,GasmiaRamzi,10/14/16 16:45,0,1,Positive,"""i support Trump i hate hillary #DonaldTrump #hillaryclinton #NeverHillary #CrookedHillary #barackobama #RobertDeNiro pic.twitter.com/4FVRqTW5Me""",,,"""787077003413426176""",https://twitter.com/GasmiaRamzi/status/787077003413426176,support trump hate hillary donaldtrump hillaryclinton neverhillary crookedhillary barackobama robertdeniro,#RobertDeNiro,,,,
62305,Youth4Trump,10/1/16 15:46,7,8,Positive,"""#Hillary feel the #AfterBern for #Trump . Bernie Supporters come join us to #MAGA . Hillary does not want you. #BasementDwellers #WeNeedTrump pic.twitter.com/xv3FeE7Vss""",,,"""782350912459190272""",https://twitter.com/Youth4Trump/status/782350912459190272,hillary feel afterbern trump . bernie supporter come join u maga . hillary want you. basementdwellers weneedtrump,#WeNeedTrump,,,,
43493,trumpedelic,10/7/16 16:50,1,1,,"""Take a #Trump #Hillary break this weekend B4 #debate & watch #comedy #awardwinner RIDESHARE on iTunes & AmazonPrime https:// youtu.be/y-5Adj-kn8w""","Los Angeles, CA",,"""784541439187443713""",https://twitter.com/trumpedelic/status/784541439187443713,take trump hillary break weekend b4 debate & watch comedy awardwinner rideshare itunes & amazonprime youtu.be/y-5adj-kn8w,#Hillary,,,,
67689,NoctilucentClou,10/9/16 16:45,7,7,Negative,"""Doesn't Trump know this is one of the reasons Hillary has been the most admired woman in the world for like 20 years? #hardball #maddow""",,,"""785264867108384768""",https://twitter.com/NoctilucentClou/status/785264867108384768,doesn't trump know one reason hillary admired woman world like 20 years? hardball maddow,#hardball,,,,
4971,tubenewsen,10/3/16 16:53,2,0,Negative,"""Hillary Clinton: Donald Trump Is The Poster Boy For Bullying Small Businesses | NBC News NEWS >> É pic.twitter.com/Yym90zNWNM""",,,"""783092581047689216""",https://twitter.com/tubenewsen/status/783092581047689216,hillary clinton: donald trump poster boy bullying small business | nbc news news >> ‰€_,,,,,
59927,amrightnow,10/5/16 16:15,2,2,Positive,"""#realdonaldtrump A Promise to Hillary #military #army #navy #usmc #airforce #veterans #trump #trumptrain #trump2016 pic.twitter.com/2KjrYwT0EF""",,,"""783807951068860417""",https://twitter.com/amrightnow/status/783807951068860417,realdonaldtrump promise hillary military army navy usmc airforce veteran trump trumptrain trump2016,#military,,,,
67936,AmyAgsmiles,10/3/16 16:56,0,1,Negative,"""It was #Trump who diminished & demoralized vets today - Not Hillary . Nice try at diversion though. #PTSD #DraftDodgerDonald #compassion https:// twitter.com/lindasuhler/st atus/783091542999244800 É""","Pennsylvania, USA",,"""783093481615032320""",https://twitter.com/AmyAgsmiles/status/783093481615032320,trump diminished & demoralized vet today - hillary . nice try diversion though. ptsd draftdodgerdonald compassion twitter.com/lindasuhler/st atus/783091542999244800 ‰€_,#DraftDodgerDonald,,,,
20319,littlebluebrd,10/9/16 16:47,0,1,Positive,"""Are people really more concerned about what Trump said 15 yrs ago than the criminal activity Hillary has engaged in for her entire life?""",,,"""785265579447967748""",https://twitter.com/littlebluebrd/status/785265579447967748,people really concerned trump said 15 yr ago criminal activity hillary engaged entire life?,,,,,
80410,Turdykins,10/12/16 16:47,5,3,,"""#Wikileaks #PodestaEmails5 #Hillary #Trump #HillaryClinton From Brent Budowsky ""Warning to Hillary Clinton"". https:// wikileaks.org/podesta-emails /emailid/6900 É pic.twitter.com/G2y3Plk4r4""",,,"""786352528325615616""",https://twitter.com/Turdykins/status/786352528325615616,"wikileaks podestaemails5 hillary trump hillaryclinton brent budowsky ""warning hillary clinton"". wikileaks.org/podesta-emails /emailid/6900 ‰€_",#PodestaEmails5,,,,
47824,Trumppridetv,10/10/16 16:27,1,1,Positive,"""#Donald _ Trump STRONG!: Ted Cruz STEPS UPÉDESTROYS NBC Over Anti- Trump Bias! http://www. everynewshere.com/strong-ted-cru z-steps-updestroys-nbc-over-anti-trump-bias/?utm_source=dlvr.it&utm_medium=twitter É pic.twitter.com/CTIsPoddWg""",,,"""785622774895157249""",https://twitter.com/Trumppridetv/status/785622774895157249,donald _ trump strong!: ted cruz step up‰€_destroys nbc anti- trump bias! everynewshere.com/strong-ted-cru z-steps-updestroys-nbc-over-anti-trump-bias/?utm_source=dlvr.it&utm_medium=twitter ‰€_,#Donald,,,,
7387,ScoutJemma,10/4/16 16:49,0,0,,"""Once again, Trump and Hillary share equivalent Second Amendment policy. It's on record. https:// twitter.com/jtknight100/st atus/783451957037903872 É""",,,"""783453988213575681""",https://twitter.com/ScoutJemma/status/783453988213575681,"again, trump hillary share equivalent second amendment policy. it's record. twitter.com/jtknight100/st atus/783451957037903872 ‰€_",,,,,
12639,CollectedN,10/6/16 16:19,0,0,,"""Tim Kaine hits Donald Trump on China relations https://www. youtube.com/watch?v=qPM8Ph 8A_Ik É""",,,"""784171285551120384""",https://twitter.com/CollectedN/status/784171285551120384,tim kaine hit donald trump china relation youtube.com/watch?v=qpm8ph 8a_ik ‰€_,,,,,
26968,BluePurpleMusic,10/12/16 16:41,0,0,,"""Donald Trump & Hillary Clinton's Best Debate 'Duets,' 'Dirty Dancing' & Beyond: As many Americans tune into e... http:// bit.ly/2dNgtsu""",,,"""786351153277575172""",https://twitter.com/BluePurpleMusic/status/786351153277575172,"donald trump & hillary clinton's best debate 'duets,' 'dirty dancing' & beyond: many american tune e... bit.ly/2dngtsu",,,,,
67133,cordiervoodoo,10/2/16 15:56,0,1,Negative,"""#art The art of the lie: The art forgery guide to Donald Trump 's tall tales - Salon http:// dlvr.it/MNKGm9 #artist""",,,"""782715812054339584""",https://twitter.com/cordiervoodoo/status/782715812054339584,art art lie: art forgery guide donald trump 's tall tale - salon dlvr.it/mnkgm9 artist,#artist,,,,
80541,Eyes_of_justice,10/12/16 16:46,37,25,Positive,"""Donald #Trump Protester: ÒI Was Paid $3,500 To Protest Trump Õs Rally #CleanUPGovernment #AR #FL #GA #IA #ME #MO #MI #NH #NV #OH #PA #VA #WS https:// twitter.com/EricTrump/stat us/786345222376742912 É""",,,"""786352343662993408""",https://twitter.com/Eyes_of_justice/status/786352343662993408,"donald trump protester: ‰€œi paid $3,500 protest trump ‰€™s rally cleanupgovernment ar fl ga ia mo mi nh nv oh pa va w twitter.com/erictrump/stat us/786345222376742912 ‰€_",#WS,,,,
77318,xtinalloyd,10/9/16 16:51,0,0,Negative,"""Here's what happens if Donald Trump raises Bill Clinton's sexual misconduct at the debate http:// mashable.com/2016/10/09/don ald-trump-monica-lewinsky/#zXl2tKJQs057 É via @mashable""",,@mashable,"""785266383508475904""",https://twitter.com/xtinalloyd/status/785266383508475904,here's happens donald trump raise bill clinton's sexual misconduct debate mashable.com/2016/10/09/don ald-trump-monica-lewinsky/ zxl2tkjqs057 ‰€_ via,#zXl2tKJQs057,,,,
52351,GloomandDoom1,10/1/16 16:36,0,1,Positive,"""#Trump is a Delegator... #Hillary Goes with Her Crackpot Geopolitical Notions Even if Wrong #msnbc #fonews #nyt #cnn #wapo #nbc #cbs #npr #ap""",,,"""782363558315167744""",https://twitter.com/GloomandDoom1/status/782363558315167744,trump delegator... hillary go crackpot geopolitical notion even wrong msnbc fonews nyt cnn wapo nbc cbs npr ap,#nbc,,,,
29087,neelnabh,10/13/16 16:42,0,0,,"""I liked a @YouTube video http:// youtu.be/JRMgeOVhs2s?a FULL Donald Trump Blows Away Hillary Clinton And The Corrupt Government With An""",,@YouTube,"""786713642754539520""",https://twitter.com/neelnabh/status/786713642754539520,liked video youtu.be/jrmgeovhs2s?a full donald trump blow away hillary clinton corrupt government,,,,,
45910,Patriot_Ink,10/8/16 16:30,0,0,Positive,"""Hillary Panics: Tells Supporters Privately That Trump Has Dangerous Advantage http://www. teaparty.org/hillary-panics -tells-supporters-privately-trump-dangerous-advantage-190885/#.V_mBgzW3yP4.twitter É""",,,"""784898728167636992""",https://twitter.com/Patriot_Ink/status/784898728167636992,hillary panics: tell supporter privately trump dangerous advantage teaparty.org/hillary-panics -tells-supporters-privately-trump-dangerous-advantage-190885/ .v_mbgzw3yp4.twitter ‰€_,#,,,,
69483,StanLeeGee,10/3/16 16:26,6,2,Negative,"""Trump ditched U.S. Steel Workers for cheap Chinese steel. How does that help America? #VoteBlue #HillYes #Hillary http://www. newsweek.com/how-donald-tru mp-ditched-us-steel-workers-china-505717 É""",,,"""783085754545156096""",https://twitter.com/StanLeeGee/status/783085754545156096,trump ditched u.s. steel worker cheap chinese steel. help america? voteblue hillyes hillary newsweek.com/how-donald-tru mp-ditched-us-steel-workers-china-505717 ‰€_,#HillYes,,,,
49384,mdansby,10/11/16 16:53,0,2,Neutral,"""Donald Trump Fortune Teller Machine... #zoltar #fortuneteller #future #trump #machine #tech #prediction http:// fb.me/2ubBhQsmb""",,,"""785991720429248512""",https://twitter.com/mdansby/status/785991720429248512,donald trump fortune teller machine... zoltar fortuneteller future trump machine tech prediction fb.me/2ubbhqsmb,#trump,,,,
42616,KittyAntonik,10/3/16 16:49,0,1,Neutral,"""#Hillary 's & #Trump 's lying & conniving wouldn't affect any but those who voluntarily chose to associate w/ either of them ...""",,,"""783091579531722752""",https://twitter.com/KittyAntonik/status/783091579531722752,hillary 's & trump 's lying & conniving wouldn't affect voluntarily chose associate w/ either ...,#Hillary,,,,
35082,mozartiiiiiii,10/15/16 15:58,0,0,Negative,"""Mindy McGillivray and other five woman who have ventured forward to blame Donald Trump for inappropriate behavior... http:// fb.me/4GVifqSix""",,,"""787427345254711296""",https://twitter.com/mozartiiiiiii/status/787427345254711296,mindy mcgillivray five woman ventured forward blame donald trump inappropriate behavior... fb.me/4gvifqsix,,,,,
57459,Nsikak01,10/9/16 16:47,0,1,Negative,"""Hillary cannot and will not be intimidated with Trump 's 4 women #debate""",,,"""785265518903107584""",https://twitter.com/Nsikak01/status/785265518903107584,hillary cannot intimidated trump 's 4 woman debate,#debate,,,,
48909,GloomandDoom1,10/2/16 16:28,0,1,Positive,"""ANYTHING #Obama & #Hillary Do in #Syria & #Iraq Pushes More ANGRY #REFUGEES Into #EU & USA ~ #msnbc #foxnews #nyt #cnn #wapo #nbc #cbs #trump""",,,"""782723973167677440""",https://twitter.com/GloomandDoom1/status/782723973167677440,anything obama & hillary syria & iraq push angry refugee eu & usa ~ msnbc foxnews nyt cnn wapo nbc cbs trump,#trump,,,,
